name,title,book(s),house,dateOfBirth,dateOfDeath,,culture,alias,reign,full name,other titles,born in,died in,royal house,predecessor,heir,successor,queen,issue,books,father,mother,coronation,spouse,personal arms,race,wife,actor,tv series,buried in,location,government,founded,religion,notable places,organizations,named for,current commander,size,banner,motto/war cry,founder,coat of arms,seat,current lord,region,overlord,words,cadet branch,ancestral weapon,population,conflict,date,place,result,author,country,language,series,genre(s),publisher,released,media type,pages,followed&#160;by,cover artist,isbn,purchase,disbanded
Anya Waynwood,Ironoaks,A Game of Thrones,House Waynwood,,,Season 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armen,,A Feast for Crows,,,,,, Armen the Acolyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianne Martell, Princess,A Game of Thrones,House Martell,276 AC,,,Dornishmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armond Caswell,Bitterbridge,The Mystery Knight,House Caswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Androw Frey,,A Clash of Kings,House Frey,295 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arneld,Ser,A Clash of Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnell,Ser,A Clash of Kings,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aron Santagar,Ser,A Game of Thrones,House Santagar,,299 AC,,Dornish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrec Durrandon,,,,,,,,,, Arrec Durrandon,Storm King,,,House Durrandon,,Arlan V Durrandon,Arlan V Durrandon,,Arlan V Durrandon,The World of Ice and Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arron,,A Storm of Swords,Night's Watch,Fair Isle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnolf Karstark,Karhold,A Feast for Crows,House Karstark,Karhold,,,Northmen, Lord Arnolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arron Qorgyle, Ser,A Storm of Swords,House Qorgyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arryk (guard),,A Storm of Swords,House Tyrell,,,,," ""Left"" or ""Right""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arson,,A Storm of Swords,,,,,Free Folk, Arson Iceaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthor Karstark,,A Dance with Dragons,House Karstark,,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Ambrose, Lord,A Storm of Swords,House Ambrose,,,,,,,,,,,,,,,,,,,,,Alysanne Hightower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Dayne,Ser,A Game of Thrones,House Dayne,,283 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arwyn Oakheart,Old Oak,A Game of Thrones,House Oakheart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artos Stark,,The World of Ice and Fire,House Stark,,,,Northmen, Artos the Implacable,,,,,,,,,,,,,,,,Lysara Karstark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arwyn Frey,,A Clash of Kings,House Frey,285 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arys Oakheart,Ser,A Game of Thrones,House Oakheart,Old Oak,300 AC,,Reach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashara Dayne,,A Game of Thrones,House Dayne,"<a href=""#cite_note-0"">[1]",283 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arya Stark, Princess,A Game of Thrones,House Stark,289 AC,,Season 1,Northmen, Arya Horseface<br>Arya Underfoot<br>Arry<br>Lumpyface/Lumpyhead<br>Stickboy<br>Weasel<br>Nymeria/Nan<br>Squab<br>Salty<br>Cat of the Canals<br>Beth<br>The Blind Girl<br>The Ugly Little Girl<br>Mercedene/Mercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asha Greyjoy,Black Wind,A Game of Thrones,House Greyjoy,275 AC,,Season 2,Ironborn, Esgred<br>The Kraken's Daughter,,,,,,,,,,,,,,,,Erik Ironmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey Ambrose,Ser,The Sworn Sword,House Ambrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayrmidon,,A Game of Thrones,,,,,Valyrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azor Ahai,,A Clash of Kings,,,,,Asshai,"<a href=""#cite_note-Rasos25.7B.7B.7B3.7D.7D.7D-0"">[1]",,,,,,,,,,,,,,,,Nissa Nissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azzak, Cupbearer,A Dance with Dragons,House of Ghazeen,Meereen,,,Ghiscari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurane Waters,master of ships,A Clash of Kings,House Velaryon,277 AC,,,Valyrian,"<a href=""#cite_note-Raffc43.7B.7B.7B3.7D.7D.7D-0"">[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bael the Bard,King-Beyond-the-Wall,The World of Ice and Fire,,,,,Free folk, Bael the Bard<br>Sygerrik of Skagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arwood Frey, Ser,A Clash of Kings,House Frey,263 AC,,,,,,,,,,,,,,,,,,,,Ryella Royce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baelor Blacktyde,Blacktyde,A Clash of Kings,House Blacktyde,,300 AC,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baelon Targaryen (son of Viserys I), Prince,The Rogue Prince,House Targaryen,105 AC,105 AC,,Valyrian, Heir for a Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axell Florent,Ser,A Clash of Kings,House Florent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baelor Hightower,Ser,A Storm of Swords,House Hightower,Oldtown,,,, Baelor Brightsmile<br>Baelor Breakwind,,,,,,,,,,,,,,,,Rhonda Rowan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballabar, Maester,A Clash of Kings,House Redwyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baelor I Targaryen,,,,,,,, Baelor the Beloved<br>Baelor the Blessed<br>Baelor the Befuddled,161 AC, Baelor Targaryen the First of His Name,Andals,144 AC,171 AC,House Targaryen,Daeron I Targaryen,,Viserys II Targaryen,Daena Targaryen, None,The World of Ice and Fire,Aegon III Targaryen,Daenaera Velaryon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baelor Targaryen (son of Daeron II),Prince of Dragonstone,The World of Ice and Fire,House Targaryen,170 AC,209 AC,,, Baelor Breakspear<br>The Hammer,,,,,,,,,,,,,,,,Jena Dondarrion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balman Byrch,Ser,A Storm of Swords,House Byrch,,300 AC,,,,,,,,,,,,,,,,,,,Falyse Stokeworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baelon Targaryen (son of Aerys), Lord of Dragonstone,The World of Ice and Fire,House Targaryen,Dragonstone,,,Valyrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balon Botley,,A Feast for Crows,House Botley,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandy,,A Clash of Kings,House Stark,,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balon Greyjoy,,,,,,,, Balon the Brave<br>Balon the Blessed<br>Balon the Twice Crowned<br>Balon the Widowmaker<br>The Kraken King,289 AC," Balon Greyjoy, the Ninth of His Name Since the Grey King",Iron King,,299 AC,House Greyjoy,,Theon Greyjoy,Euron Greyjoy,Alannys Harlaw,Rodrik Greyjoy,A Game of Thrones,Quellon Greyjoy,,,,,,,Patrick Malahide,Season 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balon Swann,Ser,A Game of Thrones,House Swann,,,,Stormlander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannen,,A Clash of Kings,Night's Watch,White Harbor,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baela Targaryen, Lady,The World of Ice and Fire,House Targaryen,116 AC,,,Valyrian,,,,,,,,,,,,,,,,,Alyn Velaryon,,Valyrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barba Bracken,,A Dance with Dragons,House Bracken,155 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Bracken,,A Dance with Dragons,House Bracken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barre, Septon,A Clash of Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbrey Dustin,Barrowton,A Feast for Crows,House Ryswell,,,,Northmen,,,,,,,,,,,,,,,,,Willam Dustin,"<img alt=""Ladydusti crestn.PNG"" src=""/images/thumb/b/bd/Ladydusti_crestn.PNG/50px-Ladydusti_crestn.PNG"" width=""50"" height=""55"" srcset=""/images/thumb/b/bd/Ladydusti_crestn.PNG/75px-Ladydusti_crestn.PNG 1.5x, /images/thumb/b/bd/Ladydusti_crestn.PNG/100px-Ladydusti_crestn.PNG 2x"" />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barristan Selmy,Ser,The World of Ice and Fire,House Selmy,236 AC,,Season 1,Westeros, Barristan the Bold<br>Arstan Whitebeard<br>Ser Grandfather<br>Barristan the Old<br>Old Ser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barth (brewer),,A Clash of Kings,House Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass,,A Game of Thrones,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayard Norcross,Ser,A Feast for Crows,House Norcross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barth,Septon,The World of Ice and Fire,Faith of the Seven,,99 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barra,,A Game of Thrones,House Baratheon,298 AC,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearded Ben,,A Feast for Crows,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beardless Dick,,A Storm of Swords,Brotherhood Without Banners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becca,,A Game of Thrones,House Arryn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beck, Goodman,A Storm of Swords,,299 AC,Donnelwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedwyck,,A Clash of Kings,Night's Watch,,,,, Giant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belandra,,A Feast for Crows,House Martell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beldecar,,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belis, Wisdom,A Storm of Swords,Alchemists' Guild,,King's Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellegere Otherys,,The World of Ice and Fire,,,,,Braavosi,Black Pearl of Braavos,,,,,,,,,,,,,,,,,, Mixed (Braavosi-Summer Islander),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barthogan Stark,Winterfell,The World of Ice and Fire,House Stark,,,,Northmen, Barth Blacksword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellonara Otherys,,A Feast for Crows,,,,,Braavosi, Black Pearl of Braavos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben,,A Feast for Crows,,293 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Blackthumb,,A Clash of Kings,House Whent,,,,, Ben Blackthumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belwas,,A Clash of Kings,House Targaryen,,,,Meereenese, Strong Belwas<br>Belwas the Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Bones,,A Dance with Dragons,House Bolton,,,,, Ben Bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella,,A Storm of Swords,,283 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Plumm, Commander of the Second Sons,A Storm of Swords,Second Sons,,,,, Brown Ben Plumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedict, Archmaester,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benfred Tallhart,,A Clash of Kings,House Tallhart,281 AC,299 AC,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Bushy,Ser,A Feast for Crows,House Bushy,,299 AC,,, Big Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedar Belmore,Strongsong,A Feast for Crows,House Belmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benfrey Frey,Ser,A Clash of Kings,House Frey,271 AC,299 AC,,,,,,,,,,,,,,,,,,,Jyanna Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedict Broom,Ser,A Clash of Kings,House Broom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellena Hawick,,A Clash of Kings,House Hawick,,,,,,,,,,,,,,,,,,,,,Hosteen Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjen Stark (Sweet),,,,,,,Northmen, Benjen the Sweet,, Benjen Stark,King in the North,,,House Stark,,,,,,A Clash of Kings,,,,,,,,,,Winterfell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennard Brune,Ser,A Feast for Crows,House Brune of Brownhollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjen Stark (Bitter),,,,,,,Northmen, Benjen the Bitter,, Benjen Stark,King in the North,,,House Stark,,,,,,A Clash of Kings,,,,,,,,,,Winterfell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennet, Septon,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennis,Ser,The Sworn Sword,House Osgrey,,,,, Bennis of the Brown Shield<br>Bennis Brownstench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjen Stark,First Ranger,A Game of Thrones,House Stark,267 AC,,Season 1,Northmen, The Wolf Pup<br>Ben Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennarion Botley,,A Feast for Crows,House Botley,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beqqo,,A Feast for Crows,,,,,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beren Tallhart,,A Clash of Kings,House Tallhart,289 AC,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berena Hornwood,,A Clash of Kings,House Hornwood,,,,Northmen,,,,,,,,,,,,,,,,,Leobald Tallhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beron Blacktyde,,A Feast for Crows,House Blacktyde,,,,, Blind Beron Blacktyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beric Dondarrion, Lord of Blackhaven,A Game of Thrones,,276 AC,299 AC,Season 1,, The Lightning Lord<br>The Lord of Corpses<br>Lord Derik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertram Beesbury, Ser,A Storm of Swords,House Beesbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bess Bracken,,A Dance with Dragons,House Bracken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bessa,,A Storm of Swords,,,Hag's Mire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bessa (Winterfell),,A Game of Thrones,,,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beron Stark,Winterfell,The World of Ice and Fire,House Stark,,,,Northmen,,,,,,,,,,,,,,,,,Lorra Royce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beth Cassel,,A Game of Thrones,House Cassel,289 AC,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany (Blushing Bethany),,A Feast for Crows,,,,,Braavosi, Blushing Bethany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Bracken,,The World of Ice and Fire,House Bracken,156 AC,178 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Fair-Fingers,,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Bolton,the Dreadfort,A Feast for Crows,House Bolton,,,,Northmen,,,,,,,,,,,,,,,,,Roose Bolton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Redwyne,Goldengrove,A Game of Thrones,House Redwyne,,,,,,,,,,,,,,,,,,,,,Mathis Rowan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Rosby, Lady,A Clash of Kings,House Rosby,265 AC,282 AC,,,,,,,,,,,,,,,,,,,Walder Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharbo, Khal,A Game of Thrones,,,,,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhakaz zo Loraq, Cupbearer,A Dance with Dragons,House of Loraq,Meereen,,,Ghiscari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Boil,,A Storm of Swords,,,,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betharios of Braavos,,A Clash of Kings,House Frey,,,,, Betharios of Braavos,,,,,,,,,,,,,,,,Symond Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biter,,A Clash of Kings,Brave Companions,,300 AC,Season 1,,Amok©,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Bernarr,,A Storm of Swords,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Balaq,,A Dance with Dragons,Golden Company,,,,Summer Islander, Black Balaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind Doss,,A Dance with Dragons,,,,,Free folk, Blind Doss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blane,,A Clash of Kings,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodbeard,,A Dance with Dragons,Company of the Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth,,A Clash of Kings,House Greyjoy,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borcas,,A Game of Thrones,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloody Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westeros,House Arryn,Age of Heroes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
